timestamp, input_file_or_table, output_file_or_table, action_description, performed_by
2026-04-09T21:56:59.298464+00:00,SilverLayerData/cargoMesurement*.csv,GoldLayerData/cargoMeasurement*csv,Combine the cargoMeasurement tables from both years and add to Gold Layer Folder,Denny Ye
2026-04-09T21:57:06.217127+00:00,SilverLayerData/consignee*.csv,GoldLayerData/consignee*csv,Combine the Consignee tables from both years and add to Gold Layer Folder,Denny Ye
2026-04-09T21:57:06.269615+00:00,SilverLayerData/port*.csv,GoldLayerData/port*csv,Combine the Port tables from both years and add to Gold Layer Folder,Denny Ye
2026-04-09T21:57:12.841131+00:00,SilverLayerData/shipper*.csv,GoldLayerData/shipper*csv,Combine the Shipper tables from both years and add to Gold Layer Folder,Denny Ye
2026-04-09T21:57:12.941025+00:00,SilverLayerData/vessel*.csv,GoldLayerData/vessel*csv,Combine the Vessel tables from both years and add to Gold Layer Folder,Denny Ye
2026-04-09T22:05:14.709844+00:00,GoldLayerData/fact_header.csv & /dim_cargo_measurement.csv,GoldLayerData/fact_header.csv,Add the quantitative variables into fact_header table from dim_cargo_measurement table,Denny Ye
2026-04-09T22:09:21.145311+00:00,GoldLayerData/dim_cargo_measurement.csv,GoldLayerData/dim_cargo_measurement.csv,"Drop manifest_quantity, weight, and measurement from dim_cargo_measurement table",Denny Ye
2026-04-09T22:11:51.536450+00:00,GoldLayerData/fact_header.csv,GoldLayerData/fact_header.csv,"Drop carrier_code, record_status_indicator, place_of_receipt, conveyance_id_qualifier, conveyance_id, in_bond_entry_type, and mode_of_transportation from fact_header table",Denny Ye
2026-04-09T22:15:53.130787+00:00,GoldLayerData/fact_header.csv,GoldLayerData/fact_header.csv,Convert the data types of estimated_arrival_date and actual_arrival_date from str to dates type,Denny Ye
2026-04-09T22:19:50.527692+00:00,GoldLayerData/fact_header.csv,GoldLayerData/fact_header.csv,Convert the data types of estimated_arrival_date and actual_arrival_date from str to dates type,Denny Ye
2026-04-10T04:45:04.166068+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-10T04:46:10.310082+00:00,SilverLayerData/consignee.csv,SilverLayerData/consignee.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-10T04:47:11.986788+00:00,SilverLayerData/shipper.csv,SilverLayerData/shipper.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-10T05:00:16.777099+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-10T06:24:51.320820+00:00,SilverLayerData/header2019.csv,SilverLayerData/header2019.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-10T06:26:31.121705+00:00,SilverLayerData/header2020.csv,SilverLayerData/header2020.csv,Dropped columns secondary_notify_party_9 and secondary_notify_party_10,Denny Ye
2026-04-10T06:27:33.353314+00:00,SilverLayerData/consignee.csv,SilverLayerData/consignee.csv,"Dropped columns consignee_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-10T06:28:30.633180+00:00,SilverLayerData/shipper.csv,SilverLayerData/shipper.csv,"Dropped columns shipper_party_address_4, city, state_province, zip_code, country_code, contact_name, comm_number_qualifier, comm_number",Denny Ye
2026-04-10T06:38:13.719292+00:00,SilverLayerData/header2019.csv,SilverLayerData/header2019.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-10T06:41:21.184326+00:00,SilverLayerData/header2020.csv,SilverLayerData/header2020.csv,Converted weights to kg and dropped weight_unit column,Denny Ye
2026-04-10T06:48:40.835831+00:00,SilverLayerData/header2019.csv,SilverLayerData/header2019.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-10T06:50:16.141229+00:00,SilverLayerData/header2020.csv,SilverLayerData/header2020.csv,"Replaced mode_of_transportation values: Vessel, containerized to C and Vessel, non-containerized to N",Denny Ye
2026-04-10T06:57:45.639680+00:00,SilverLayerData/header2019.csv,SilverLayerData/header2019.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-10T06:59:27.775762+00:00,SilverLayerData/header2020.csv,SilverLayerData/header2020.csv,Removed rows with record_status_indicator as Deleted,Denny Ye
2026-04-10T07:29:30.298964+00:00,SilverLayerData/header.csv,SilverLayerData/cargoMeasurement.csv,"Created cargo_measurement table with identifier, manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns",Denny Ye
2026-04-10T07:48:34.114518+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,"Dropped manifest_quantity, manifest_unit, weight, measurement, measurement_unit columns from header table as they are now in cargo_measurement table",Denny Ye
2026-04-10T07:51:22.288413+00:00,SilverLayerData/header.csv,SilverLayerData/secondaryNotifyParty.csv,"Created secondary notify party table with identifier, notify_party_sequence, notify_party_name columns",Denny Ye
2026-04-10T07:56:24.516661+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,Dropped secondary_notify_party columns from header table,Denny Ye
2026-04-10T07:59:08.455836+00:00,SilverLayerData/header.csv,SilverLayerData/port.csv,Created port table with port_id and port_name columns,Denny Ye
2026-04-10T08:06:34.620262+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,Added port_id columns to header table based on the port names and port_id in the port table,Denny Ye
2026-04-10T08:12:02.634219+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,Dropped port columns from header table,Denny Ye
2026-04-10T08:13:42.700795+00:00,SilverLayerData/header.csv,SilverLayerData/vessel.csv,"Created vessel table with vessel_id, vessel_country_code, vessel_name columns",Denny Ye
2026-04-10T08:19:05.591612+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,Added vessel_id to header table by merging with vessel table on vessel_country_code and vessel_name,Denny Ye
2026-04-10T08:23:02.426220+00:00,SilverLayerData/header.csv,SilverLayerData/header.csv,Deleted vessel_country_code and vessel_name columns from header table as they are now in vessel table and we have vessel_id in header table,Denny Ye
2026-04-10T08:26:41.049259+00:00,SilverLayerData/shipper.csv,SilverLayerData/shipper.csv,Deduplicated shipper table based on identifier column,Denny Ye
2026-04-10T08:27:56.404283+00:00,SilverLayerData/header.csv and SilverLayerData/shipper.csv,StagingTable/headerShipperStaging.csv,Created staging table by merging header and shipper tables on identifier column,Denny Ye
